2022.05.23 11:02:00,,,
GOSHO,,,
F1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
3.80,-0.2904552275,-2.5579317376,-6.7209145956
3.81,-0.2892533438,-2.5803939328,-6.7113519948
3.82,-0.2832439253,-2.5898516992,-6.7173286203
3.83,-0.2776351347,-2.5859109632,-6.7284849879
3.84,-0.2756319952,-2.5744828288,-6.7472117478
3.85,-0.2728275999,-2.5658132096,-6.7667353911
3.86,-0.2636131582,-2.557537664,-6.7902434514
3.87,-0.2551999723,-2.5484739712,-6.8257047627
3.88,-0.2459855306,-2.5445332352,-6.8535956817
3.89,-0.2327648099,-2.543745088,-6.8679395829
3.90,-0.220345345,-2.5394102784,-6.8715255582
3.91,-0.208326508,-2.5350754688,-6.8635567242
3.92,-0.2051214848,-2.5374399104,-6.8567832153
3.93,-0.2063233685,-2.5405924992,-6.8663458161
3.94,-0.20031395,-2.5362576896,-6.8978227104
3.95,-0.1919007641,-2.52207104,-6.9233229792
3.96,-0.196307671,-2.508278464,-6.928901163
3.97,-0.2099290196,-2.5027614336,-6.9316902549
3.98,-0.2207459729,-2.504337728,-6.9360731136
3.99,-0.2383736005,-2.508278464,-6.9261120711
4.00,-0.2592062513,-2.5145836416,-6.897025827
4.01,-0.276433251,-2.5315288064,-6.8683380246
4.02,-0.3032753203,-2.5610843264,-6.845228406
4.03,-0.324508599,-2.59103392,-6.825306321
4.04,-0.3265117385,-2.6083731584,-6.8065795611
4.05,-0.3289155059,-2.6107376,-6.7890481263
4.06,-0.3321205291,-2.6071909376,-6.7727120166
4.07,-0.3345242965,-2.6032502016,-6.7555790235
4.08,-0.3269123664,-2.6016739072,-6.7515946065
4.09,-0.3120891341,-2.6004916864,-6.7627509741
4.10,-0.3056790877,-2.598915392,-6.7858605927
4.11,-0.2940608786,-2.5981272448,-6.8109624198
4.12,-0.2740294836,-2.6012798336,-6.8217203457
4.13,-0.2560012281,-2.6119198208,-6.8249078793
4.14,-0.2459855306,-2.6217716608,-6.8296891797
4.15,-0.2331654378,-2.6178309248,-6.8336735967
4.16,-0.2175409497,-2.6024620544,-6.8444315226
4.17,-0.2111309033,-2.59103392,-6.865150491
4.18,-0.2087271359,-2.5863050368,-6.8806897173
4.19,-0.2067239964,-2.5839405952,-6.8914476432
