2022.05.23 11:02:00,,,
GOSHO,,,
F1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
4.67,-0.193102648,-2.563842842,-6.928901163
4.68,-0.18308695,-2.555173222,-6.929698046
4.69,-0.179881927,-2.543745088,-6.920533887
4.7,-0.184288834,-2.532316954,-6.904596219
4.71,-0.194304532,-2.52640585,-6.89065076
4.72,-0.198310811,-2.52640585,-6.884275693
4.73,-0.197108927,-2.529558438,-6.877900625
4.74,-0.197108927,-2.53743991,-6.862361399
4.75,-0.200714578,-2.549262118,-6.844431523
4.76,-0.204320229,-2.561084326,-6.834072038
4.77,-0.213935299,-2.574876902,-6.829290738
4.78,-0.228758531,-2.584334669,-6.820126579
4.79,-0.242780507,-2.579999859,-6.817735929
4.8,-0.261209391,-2.567389504,-6.824907879
4.81,-0.271625716,-2.552808781,-6.819728137
4.82,-0.275631995,-2.539016205,-6.806181119
4.83,-0.279638274,-2.530740659,-6.796618519
4.84,-0.286849576,-2.524829555,-6.78984501
4.85,-0.287650832,-2.509854758,-6.790641893
4.86,-0.282843297,-2.490151078,-6.80857177
4.87,-0.274830739,-2.47832887,-6.828892296
4.88,-0.266818181,-2.47281184,-6.843236198
4.89,-0.263613158,-2.473205914,-6.84841594
4.9,-0.260408135,-2.475964429,-6.838454897
4.91,-0.245584903,-2.481481459,-6.824509438
4.92,-0.22515288,-2.490151078,-6.826501646
4.93,-0.209528392,-2.495668109,-6.83686113
4.94,-0.199913322,-2.496456256,-6.847619056
4.95,-0.199512694,-2.497244403,-6.85797854
4.96,-0.203919601,-2.501579213,-6.859173866
4.97,-0.213935299,-2.511036979,-6.860369191
4.98,-0.226755391,-2.524435482,-6.859970749
4.99,-0.23076167,-2.539804352,-6.857181657
5,-0.231562926,-2.553991002,-6.859970749
5.01,-0.237572345,-2.568177651,-6.85558789
5.02,-0.24798867,-2.580788006,-6.842439314
5.03,-0.255199972,-2.584334669,-6.83447048
5.04,-0.266818181,-2.581576154,-6.825704763
5.05,-0.282843297,-2.582364301,-6.817735929
5.06,-0.291657111,-2.585122816,-6.819329696
5.07,-0.288852716,-2.583152448,-6.812556187
5.08,-0.288852716,-2.581970227,-6.795821635
5.09,-0.298067158,-2.586305037,-6.787055918
5.1,-0.296464646,-2.592610214,-6.798610727
5.11,-0.284045181,-2.593398362,-6.814548395
5.12,-0.278035763,-2.58669911,-6.829290738
5.13,-0.28244267,-2.582758374,-6.843236198
5.14,-0.283243925,-2.582758374,-6.846423731
5.15,-0.281240786,-2.583546522,-6.846822173
5.16,-0.284846437,-2.584728742,-6.847619056
5.17,-0.293660251,-2.579605786,-6.843634639
5.18,-0.29566339,-2.563054694,-6.840048664
5.19,-0.294060879,-2.548079898,-6.852798798
5.2,-0.291256483,-2.548079898,-6.879095951
5.21,-0.288852716,-2.552414707,-6.897424269
5.22,-0.283644553,-2.552414707,-6.899416477
5.23,-0.278436391,-2.548473971,-6.887463226
5.24,-0.273628856,-2.543351014,-6.867541141
5.25,-0.269221949,-2.530346586,-6.846822173
5.26,-0.260408135,-2.511036979,-6.816939045
5.27,-0.249190554,-2.494091814,-6.786657476
5.28,-0.247588042,-2.484634048,-6.773907342
5.29,-0.241177996,-2.486604416,-6.771516692
5.3,-0.223550368,-2.492909594,-6.764743183
5.31,-0.20792588,-2.492909594,-6.755977465
5.32,-0.207124624,-2.489757005,-6.748008631
5.33,-0.216739694,-2.494091814,-6.736453822
5.34,-0.221547229,-2.500791066,-6.71493797
5.35,-0.217140322,-2.503943654,-6.712945762
5.36,-0.21553781,-2.513007347,-6.731672522
5.37,-0.221947857,-2.525617702,-6.743625773
5.38,-0.23076167,-2.53743991,-6.748008631
5.39,-0.244783647,-2.547685824,-6.753985257
5.4,-0.267218809,-2.554779149,-6.764743183
5.41,-0.285247065,-2.562660621,-6.779485526
5.42,-0.2900546,-2.573300608,-6.793032543
5.43,-0.29566339,-2.576059123,-6.806579561
5.44,-0.300871553,-2.568571725,-6.827696971
5.45,-0.299669669,-2.565025062,-6.859572307
